github.com/Pallinder/go-randomdata	v1.2.0
github.com/VividCortex/gohistogram	v1.0.0
github.com/aws/aws-lambda-go	v1.54.0
github.com/beorn7/perks	v1.0.1
github.com/cespare/xxhash/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc
github.com/go-kit/kit	v0.13.0
github.com/go-kit/log	v0.2.1
github.com/go-logfmt/logfmt	v0.6.1
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/gorilla/mux	v1.8.1
github.com/igrmk/treemap/v2	v2.0.1
github.com/juju/ansiterm	v1.0.0
github.com/klauspost/compress	v1.18.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.1.0
github.com/kylelemons/godebug	v1.1.0
github.com/lunixbochs/vtclean	v1.0.0
github.com/mattn/go-colorable	v0.1.15
github.com/mattn/go-isatty	v0.0.22
github.com/moov-io/base	v0.61.3
github.com/moov-io/iso3166	v0.4.0
github.com/moov-io/iso4217	v0.3.2
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.68.0
github.com/prometheus/procfs	v0.20.1
github.com/rickar/cal/v2	v2.1.27
github.com/rogpeppe/go-internal	v1.10.0
github.com/stretchr/testify	v1.11.1
go.uber.org/goleak	v1.3.0
go.yaml.in/yaml/v2	v2.4.4
golang.org/x/exp	v0.0.0-20260529124908-c761662dc8c9
golang.org/x/net	v0.57.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.47.0
golang.org/x/text	v0.40.0
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
