github.com/creack/pty	v1.1.9
github.com/dlclark/regexp2	v1.4.1-0.20201116162257-a2a8dda75c91
github.com/dlclark/regexp2/v2	v2.5.2
github.com/dop251/goja_nodejs	v0.0.0-20211022123610-8dd9abb0616d
github.com/go-sourcemap/sourcemap	v2.1.3%2Bincompatible
github.com/goccy/go-yaml	v1.19.2
github.com/google/pprof	v0.0.0-20230207041349-798e818bf904
github.com/kr/pretty	v0.2.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/masterminds/semver/v3	v3.5.0
golang.org/x/text	v0.3.8
golang.org/x/tools	v0.0.0-20180917221912-90fa682c2a6e
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v2	v2.4.0
