github.com/JohannesKaufmann/dom	v0.3.1
github.com/agnivade/levenshtein	v1.2.1
github.com/andybalholm/cascadia	v1.3.4
github.com/arbovm/levenshtein	v0.0.0-20160628152529-48b4e1c0c4d0
github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/bmatcuk/doublestar/v4	v4.10.0
github.com/davecgh/go-spew	v1.1.1
github.com/dgryski/trifles	v0.0.0-20230903005119-f50d829f2e54
github.com/lucasb-eyer/go-colorful	v1.4.0
github.com/mattn/go-isatty	v0.0.22
github.com/muesli/termenv	v0.16.0
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.4.7
github.com/sebdah/goldie/v2	v2.8.0
github.com/sergi/go-diff	v1.4.0
github.com/stretchr/testify	v1.4.0
github.com/yuin/goldmark	v1.8.2
golang.org/x/net	v0.55.0
golang.org/x/sys	v0.45.0
gopkg.in/yaml.v2	v2.4.0
