github.com/alicebob/gopher-json	v0.0.0-20230218143504-906a9b012302
github.com/alicebob/miniredis/v2	v2.34.0
github.com/beorn7/perks	v1.0.1
github.com/bsm/ginkgo/v2	v2.12.0
github.com/bsm/gomega	v1.27.10
github.com/cenkalti/backoff/v5	v5.0.3
github.com/cespare/xxhash/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.1
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/golang/protobuf	v1.5.4
github.com/google/go-cmp	v0.7.0
github.com/google/uuid	v1.6.0
github.com/grpc-ecosystem/grpc-gateway/v2	v2.28.0
github.com/joho/godotenv	v1.5.1
github.com/klauspost/compress	v1.18.0
github.com/klauspost/cpuid/v2	v2.0.9
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/kylelemons/godebug	v1.1.0
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/pmezard/go-difflib	v1.0.0
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.66.1
github.com/prometheus/procfs	v0.16.1
github.com/redis/go-redis/v9	v9.18.0
github.com/rogpeppe/go-internal	v1.14.1
github.com/stretchr/testify	v1.11.1
github.com/yuin/gopher-lua	v1.1.1
github.com/zeebo/xxh3	v1.0.2
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.42.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace	v1.42.0
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp	v1.42.0
go.opentelemetry.io/otel/metric	v1.42.0
go.opentelemetry.io/otel/sdk	v1.42.0
go.opentelemetry.io/otel/sdk/metric	v1.42.0
go.opentelemetry.io/otel/trace	v1.42.0
go.opentelemetry.io/proto/otlp	v1.10.0
go.uber.org/atomic	v1.11.0
go.uber.org/goleak	v1.3.0
go.yaml.in/yaml/v2	v2.4.2
golang.org/x/net	v0.52.0
golang.org/x/sys	v0.42.0
golang.org/x/text	v0.35.0
gonum.org/v1/gonum	v0.16.0
google.golang.org/genproto/googleapis/api	v0.0.0-20260319201613-d00831a3d3e7
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260319201613-d00831a3d3e7
google.golang.org/grpc	v1.79.3
google.golang.org/protobuf	v1.36.11
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
