git.sr.ht/~jackmordaunt/go-toast	v1.1.2
github.com/adrg/xdg	v0.5.3
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/davecgh/go-spew	v1.1.1
github.com/esiqveland/notify	v0.13.3
github.com/fatih/color	v1.13.0
github.com/fatih/color	v1.19.0
github.com/gen2brain/beeep	v0.11.2
github.com/go-ole/go-ole	v1.3.0
github.com/godbus/dbus/v5	v5.1.0
github.com/google/go-cmp	v0.7.0
github.com/hashicorp/go-version	v1.9.0
github.com/inconshreveable/mousetrap	v1.0.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jackmordaunt/icns/v3	v3.0.1
github.com/jessevdk/go-flags	v1.5.0
github.com/lucasb-eyer/go-colorful	v1.2.0
github.com/mattn/go-colorable	v0.1.12
github.com/mattn/go-colorable	v0.1.15
github.com/mattn/go-isatty	v0.0.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.9
github.com/nao1215/gal	v0.0.0-20220320103639-02195e5a4280
github.com/nao1215/gal	v1.1.1
github.com/nao1215/posixer	v0.0.0-20220321071406-9002110e3ed0
github.com/nao1215/posixer	v0.1.0
github.com/nao1215/subaru	v1.0.0
github.com/nfnt/resize	v0.0.0-20180221191011-83c6a9932646
github.com/nikolaydubina/go-cover-treemap	v1.5.0
github.com/nikolaydubina/treemap	v1.2.5
github.com/olekukonko/tablewriter	v0.0.5
github.com/pmezard/go-difflib	v1.0.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/sergeymakinen/go-bmp	v1.0.0
github.com/sergeymakinen/go-ico	v1.0.0-beta.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/cobra	v1.3.0
github.com/spf13/cobra	v1.4.0
github.com/spf13/pflag	v1.0.5
github.com/spf13/pflag	v1.0.9
github.com/stretchr/testify	v1.9.0
github.com/tadvi/systray	v0.0.0-20190226123456-11a2b8fa57af
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/sys	v0.0.0-20210320140829-1e4c9ba3b0c4
golang.org/x/sys	v0.0.0-20211205182925-97ca703d548d
golang.org/x/sys	v0.42.0
golang.org/x/tools	v0.26.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
