cel.dev/expr	v0.25.2
cloud.google.com/go	v0.123.0
cloud.google.com/go/accessapproval	v1.13.0
cloud.google.com/go/accesscontextmanager	v1.14.0
cloud.google.com/go/aiplatform	v1.125.0
cloud.google.com/go/analytics	v0.35.0
cloud.google.com/go/apigateway	v1.12.0
cloud.google.com/go/apigeeconnect	v1.12.0
cloud.google.com/go/apigeeregistry	v1.0.0
cloud.google.com/go/appengine	v1.14.0
cloud.google.com/go/area120	v0.15.0
cloud.google.com/go/artifactregistry	v1.25.0
cloud.google.com/go/asset	v1.27.0
cloud.google.com/go/assuredworkloads	v1.18.0
cloud.google.com/go/auth	v0.20.0
cloud.google.com/go/auth/oauth2adapt	v0.2.8
cloud.google.com/go/automl	v1.20.0
cloud.google.com/go/baremetalsolution	v1.9.0
cloud.google.com/go/batch	v1.19.0
cloud.google.com/go/beyondcorp	v1.7.0
cloud.google.com/go/bigquery	v1.77.0
cloud.google.com/go/bigtable	v1.49.0
cloud.google.com/go/billing	v1.26.0
cloud.google.com/go/binaryauthorization	v1.15.0
cloud.google.com/go/certificatemanager	v1.14.0
cloud.google.com/go/channel	v1.26.0
cloud.google.com/go/cloudbuild	v1.30.0
cloud.google.com/go/clouddms	v1.13.0
cloud.google.com/go/cloudtasks	v1.18.0
cloud.google.com/go/compute	v1.64.0
cloud.google.com/go/compute/metadata	v0.9.0
cloud.google.com/go/contactcenterinsights	v1.22.0
cloud.google.com/go/container	v1.53.0
cloud.google.com/go/containeranalysis	v0.19.0
cloud.google.com/go/datacatalog	v1.32.0
cloud.google.com/go/dataflow	v0.16.0
cloud.google.com/go/dataform	v1.0.0
cloud.google.com/go/datafusion	v1.13.0
cloud.google.com/go/datalabeling	v0.14.0
cloud.google.com/go/dataplex	v1.35.0
cloud.google.com/go/dataproc/v2	v2.23.0
cloud.google.com/go/dataqna	v0.13.0
cloud.google.com/go/datastore	v1.24.0
cloud.google.com/go/datastream	v1.20.0
cloud.google.com/go/deploy	v1.32.0
cloud.google.com/go/dialogflow	v1.82.0
cloud.google.com/go/dlp	v1.36.0
cloud.google.com/go/documentai	v1.48.0
cloud.google.com/go/domains	v0.15.0
cloud.google.com/go/edgecontainer	v1.9.0
cloud.google.com/go/errorreporting	v0.9.0
cloud.google.com/go/essentialcontacts	v1.12.0
cloud.google.com/go/eventarc	v1.23.0
cloud.google.com/go/filestore	v1.15.0
cloud.google.com/go/firestore	v1.22.0
cloud.google.com/go/functions	v1.24.0
cloud.google.com/go/gkebackup	v1.13.0
cloud.google.com/go/gkeconnect	v1.0.0
cloud.google.com/go/gkehub	v0.21.0
cloud.google.com/go/gkemulticloud	v1.11.0
cloud.google.com/go/gsuiteaddons	v1.12.0
cloud.google.com/go/iam	v1.11.0
cloud.google.com/go/iap	v1.17.0
cloud.google.com/go/ids	v1.10.0
cloud.google.com/go/iot	v1.13.0
cloud.google.com/go/kms	v1.31.0
cloud.google.com/go/language	v1.18.0
cloud.google.com/go/lifesciences	v0.15.0
cloud.google.com/go/logging	v1.18.0
cloud.google.com/go/longrunning	v1.0.0
cloud.google.com/go/managedidentities	v1.12.0
cloud.google.com/go/maps	v1.36.0
cloud.google.com/go/mediatranslation	v0.13.0
cloud.google.com/go/memcache	v1.16.0
cloud.google.com/go/metastore	v1.19.0
cloud.google.com/go/monitoring	v1.29.0
cloud.google.com/go/networkconnectivity	v1.26.0
cloud.google.com/go/networkmanagement	v1.28.0
cloud.google.com/go/networksecurity	v0.17.0
cloud.google.com/go/notebooks	v1.17.0
cloud.google.com/go/optimization	v1.11.0
cloud.google.com/go/orchestration	v1.16.0
cloud.google.com/go/orgpolicy	v1.20.0
cloud.google.com/go/osconfig	v1.21.0
cloud.google.com/go/oslogin	v1.18.0
cloud.google.com/go/phishingprotection	v0.13.0
cloud.google.com/go/policytroubleshooter	v1.15.0
cloud.google.com/go/privatecatalog	v0.15.0
cloud.google.com/go/pubsub	v1.50.2
cloud.google.com/go/pubsub/v2	v2.5.1
cloud.google.com/go/pubsublite	v1.8.2
cloud.google.com/go/recaptchaenterprise/v2	v2.26.0
cloud.google.com/go/recommendationengine	v0.14.0
cloud.google.com/go/recommender	v1.19.0
cloud.google.com/go/redis	v1.23.0
cloud.google.com/go/resourcemanager	v1.15.0
cloud.google.com/go/resourcesettings	v1.8.3
cloud.google.com/go/retail	v1.31.0
cloud.google.com/go/run	v1.21.0
cloud.google.com/go/scheduler	v1.16.0
cloud.google.com/go/secretmanager	v1.20.0
cloud.google.com/go/security	v1.25.0
cloud.google.com/go/securitycenter	v1.44.0
cloud.google.com/go/servicedirectory	v1.17.0
cloud.google.com/go/shell	v1.12.0
cloud.google.com/go/spanner	v1.91.0
cloud.google.com/go/speech	v1.35.0
cloud.google.com/go/storage	v1.62.3
cloud.google.com/go/storagetransfer	v1.18.0
cloud.google.com/go/talent	v1.13.0
cloud.google.com/go/texttospeech	v1.21.0
cloud.google.com/go/tpu	v1.13.0
cloud.google.com/go/trace	v1.16.0
cloud.google.com/go/translate	v1.17.0
cloud.google.com/go/video	v1.32.0
cloud.google.com/go/videointelligence	v1.16.0
cloud.google.com/go/vision/v2	v2.14.0
cloud.google.com/go/vmmigration	v1.15.0
cloud.google.com/go/vmwareengine	v1.8.0
cloud.google.com/go/vpcaccess	v1.13.0
cloud.google.com/go/webrisk	v1.16.0
cloud.google.com/go/websecurityscanner	v1.12.0
cloud.google.com/go/workflows	v1.19.0
collectd.org	v0.3.0
github.com/99designs/go-keychain	v0.0.0-20191008050251-8e49817e8af4
github.com/99designs/keyring	v1.2.2
github.com/Azure/azure-sdk-for-go/sdk/azcore	v1.22.0
github.com/Azure/azure-sdk-for-go/sdk/azidentity	v1.14.0
github.com/Azure/azure-sdk-for-go/sdk/azidentity/cache	v0.4.0
github.com/Azure/azure-sdk-for-go/sdk/internal	v1.12.0
github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/compute/armcompute/v5	v5.7.0
github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/network/armnetwork/v4	v4.3.0
github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/storage/armstorage	v1.8.1
github.com/Azure/azure-sdk-for-go/sdk/storage/azblob	v1.8.0
github.com/Azure/go-autorest	v14.2.0+incompatible
github.com/Azure/go-autorest/autorest	v0.11.9
github.com/Azure/go-autorest/autorest/adal	v0.9.13
github.com/Azure/go-autorest/autorest/azure/auth	v0.5.3
github.com/Azure/go-autorest/autorest/azure/cli	v0.4.2
