cloud.google.com/go/compute/metadata	v0.3.0
github.com/cespare/xxhash/v2	v2.3.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/google/uuid	v1.6.0
github.com/zendev-sh/goai/observability/langfuse	v0.0.0
github.com/zendev-sh/goai/observability/otel	v0.0.0
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.43.0
go.opentelemetry.io/otel/exporters/stdout/stdouttrace	v1.43.0
go.opentelemetry.io/otel/metric	v1.43.0
go.opentelemetry.io/otel/sdk	v1.43.0
go.opentelemetry.io/otel/trace	v1.43.0
golang.org/x/oauth2	v0.36.0
golang.org/x/sys	v0.42.0
