github.com/PuerkitoBio/goquery	v1.12.0
github.com/andybalholm/cascadia	v1.3.3
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.19.0
github.com/google/uuid	v1.6.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jarcoal/httpmock	v1.4.1
github.com/jaytaylor/html2text	v0.0.0-20230321000545-74c2419ad056
github.com/kr/pretty	v0.2.0
github.com/kr/text	v0.1.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.16
github.com/maxatome/go-testdeep	v1.14.0
github.com/olekukonko/tablewriter	v0.0.5
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.4.7
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.9
github.com/ssor/bom	v0.0.0-20170718123548-6386211fdfcf
github.com/stretchr/testify	v1.11.1
golang.org/x/net	v0.57.0
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.45.0
golang.org/x/text	v0.40.0
gopkg.in/check.v1	v1.0.0-20190902080502-41f04d3bba15
gopkg.in/yaml.v3	v3.0.1
