github.com/davecgh/go-spew	v1.1.1
github.com/fsnotify/fsnotify	v1.4.9
github.com/jinzhu/inflection	v1.0.0
github.com/nxadm/tail	v1.4.4
github.com/onsi/ginkgo	v1.15.0
github.com/onsi/gomega	v1.10.5
github.com/pmezard/go-difflib	v1.0.0
github.com/serenize/snaker	v0.0.0-20201027110005-a7ad2135616e
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
golang.org/x/net	v0.0.0-20201202161906-c7110b5ffcbb
golang.org/x/sys	v0.0.0-20210112080510-489259a85091
golang.org/x/text	v0.3.3
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.3.0
gopkg.in/yaml.v3	v3.0.1
