dario.cat/mergo	v1.0.1
github.com/alecaivazis/survey/v2	v2.3.7
github.com/cloudflare/circl	v1.6.1
github.com/cyphar/filepath-securejoin	v0.4.1
github.com/emirpasic/gods	v1.18.1
github.com/go-git/gcfg	v1.5.1-0.20230307220236-3a3c6141e376
github.com/go-git/go-billy/v5	v5.6.2
github.com/go-git/go-git/v5	v5.16.2
github.com/golang/groupcache	v0.0.0-20241129210726-2c02b8208cf8
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jbenet/go-context	v0.0.0-20150711004518-d14ea06fba99
github.com/kballard/go-shellquote	v0.0.0-20180428030007-95032a82bc51
github.com/kevinburke/ssh_config	v1.2.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mgutz/ansi	v0.0.0-20200706080929-d51e80ef957d
github.com/microsoft/go-winio	v0.6.2
github.com/pjbgf/sha1cd	v0.3.2
github.com/protonmail/go-crypto	v1.1.6
github.com/sergi/go-diff	v1.3.2-0.20230802210424-5b0b94c5c0d3
github.com/skeema/knownhosts	v1.3.1
github.com/spf13/cobra	v1.10.1
github.com/spf13/pflag	v1.0.9
github.com/xanzy/ssh-agent	v0.3.3
golang.org/x/crypto	v0.37.0
golang.org/x/net	v0.39.0
golang.org/x/sys	v0.32.0
golang.org/x/term	v0.31.0
golang.org/x/text	v0.24.0
gopkg.in/warnings.v0	v0.1.2
