github.com/GeertJohan/go.rice	v1.0.3
github.com/alecthomas/template	v0.0.0-20190718012654-fb15b899a751
github.com/alecthomas/units	v0.0.0-20190924025748-f65c72e2690d
github.com/bmatcuk/doublestar	v1.3.4
github.com/cortesi/moddwatch	v0.1.0
github.com/cortesi/termlog	v0.0.0-20250523085554-f86697764bb0
github.com/daaku/go.zipexe	v1.0.2
github.com/davecgh/go-spew	v1.1.1
github.com/dustin/go-humanize	v1.0.1
github.com/fatih/color	v1.19.0
github.com/goji/httpauth	v0.0.0-20160601135302-2da839ab0f4d
github.com/google/go-cmp	v0.6.0
github.com/gorilla/websocket	v1.5.3
github.com/juju/ratelimit	v1.0.2
github.com/kr/text	v0.2.0
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mitchellh/go-homedir	v1.1.0
github.com/niemeyer/pretty	v0.0.0-20200227124842-a10e7caefd8e
github.com/pmezard/go-difflib	v1.0.0
github.com/rjeczalik/notify	v0.9.3
github.com/stretchr/testify	v1.5.1
github.com/toqueteos/webbrowser	v1.2.0
golang.org/x/net	v0.52.0
golang.org/x/sys	v0.42.0
golang.org/x/term	v0.41.0
gopkg.in/alecthomas/kingpin.v2	v2.2.6
gopkg.in/check.v1	v1.0.0-20200227125254-8fa46927fb4f
gopkg.in/yaml.v2	v2.2.8
