github.com/clipperhouse/uax29/v2	v2.2.0
github.com/gdamore/encoding	v1.0.1
github.com/gdamore/tcell/v2	v2.13.10
github.com/kylelemons/godebug	v1.1.0
github.com/lucasb-eyer/go-colorful	v1.3.0
github.com/mattn/go-runewidth	v0.0.24
github.com/mattn/go-sixel	v0.0.5
github.com/nsf/termbox-go	v1.1.1
github.com/rivo/uniseg	v0.4.7
github.com/soniakeys/quant	v1.0.0
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.0.0-20210921155107-089bfa567519
golang.org/x/mod	v0.29.0
golang.org/x/net	v0.6.0
golang.org/x/sync	v0.18.0
golang.org/x/sys	v0.38.0
golang.org/x/term	v0.37.0
golang.org/x/text	v0.31.0
golang.org/x/tools	v0.38.0
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
