github.com/davecgh/go-spew	v1.1.1
github.com/gabriel-vasile/mimetype	v1.4.13
github.com/go-playground/assert/v2	v2.2.0
github.com/go-playground/locales	v0.14.1
github.com/go-playground/universal-translator	v0.18.1
github.com/go-playground/validator/v10	v10.30.3
github.com/gookit/filter	v1.2.3
github.com/gookit/goutil	v0.8.0
github.com/gookit/validate/v2/_examples/bench-vs-goplayground	
github.com/leodido/go-urn	v1.4.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.8.4
golang.org/x/crypto	v0.52.0
golang.org/x/sync	v0.11.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.30.0
golang.org/x/sys	v0.45.0
golang.org/x/term	v0.29.0
golang.org/x/term	v0.43.0
golang.org/x/text	v0.22.0
golang.org/x/text	v0.37.0
gopkg.in/yaml.v3	v3.0.1
