github.com/bahlo/generic-list-go	v0.2.0
github.com/buger/jsonparser	v1.1.1
github.com/fsnotify/fsnotify	v1.9.0
github.com/google/uuid	v1.6.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/invopop/jsonschema	v0.13.0
github.com/mailru/easyjson	v0.7.7
github.com/mark3labs/mcp-go	v0.45.0
github.com/spf13/cast	v1.7.1
github.com/spf13/cobra	v1.10.1
github.com/spf13/pflag	v1.0.9
github.com/wk8/go-ordered-map/v2	v2.1.8
github.com/yosida95/uritemplate/v3	v3.0.2
golang.org/x/sys	v0.42.0
golang.org/x/term	v0.40.0
gopkg.in/yaml.v3	v3.0.1
