github.com/carapace-sh/carapace	v1.11.6
github.com/carapace-sh/carapace-shlex	v1.1.1
github.com/cpuguy83/go-md2man/v2	v2.0.6
github.com/creack/pty	v1.1.24
github.com/cweill/gotests	v1.9.0
github.com/go-quicktest/qt	v1.101.0
github.com/google/go-cmp	v0.7.0
github.com/google/renameio/v2	v2.0.2
github.com/hinshun/vt10x	v0.0.0-20220301184237-5011da428d02
github.com/inconshreveable/mousetrap	v1.1.0
github.com/kballard/go-shellquote	v0.0.0-20180428030007-95032a82bc51
github.com/kr/pretty	v0.3.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/reeflective/readline	v1.3.0
github.com/rivo/uniseg	v0.4.7
github.com/rogpeppe/go-internal	v1.14.1
github.com/russross/blackfriday/v2	v2.1.0
github.com/spf13/cobra	v1.10.2
github.com/spf13/pflag	v1.0.10
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/exp	v0.0.0-20260529124908-c761662dc8c9
golang.org/x/mod	v0.36.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/term	v0.41.0
golang.org/x/tools	v0.45.0
golang.org/x/tools/go/expect	v0.1.1-deprecated
golang.org/x/tools/go/packages/packagestest	v0.1.1-deprecated
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
mvdan.cc/editorconfig	v0.3.0
mvdan.cc/sh/v3	v3.13.1
