github.com/OneOfOne/xxhash	v1.2.2
github.com/beorn7/perks	v1.0.1
github.com/cespare/xxhash	v1.1.0
github.com/cespare/xxhash/v2	v2.3.0
github.com/davecgh/go-spew	v1.1.1
github.com/google/go-cmp	v0.7.0
github.com/kelseyhightower/envconfig	v1.4.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/pmezard/go-difflib	v1.0.0
github.com/prometheus/client_golang	v1.23.2
github.com/prometheus/client_model	v0.6.2
github.com/prometheus/common	v0.67.4
github.com/prometheus/procfs	v0.19.2
github.com/rogpeppe/go-internal	v1.10.0
github.com/spaolacci/murmur3	v0.0.0-20180118202830-f09979ecbc72
github.com/stretchr/objx	v0.5.3
github.com/stretchr/testify	v1.11.1
go.opentelemetry.io/otel	v1.38.0
go.opentelemetry.io/otel/trace	v1.38.0
go.uber.org/goleak	v1.3.0
go.uber.org/multierr	v1.11.0
go.uber.org/zap	v1.27.1
go.yaml.in/yaml/v2	v2.4.3
golang.org/x/exp	v0.0.0-20251125195548-87e1e737ad39
golang.org/x/sync	v0.18.0
golang.org/x/sys	v0.38.0
google.golang.org/protobuf	v1.36.10
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v3	v3.0.1
