github.com/PuerkitoBio/goquery v1.8.0
github.com/andybalholm/cascadia v1.3.1
github.com/cpuguy83/go-md2man/v2 v2.0.0-20190314233015-f79a8a8ca69d
github.com/json-iterator/go v1.1.12
github.com/mmcdole/goxpp v1.1.1-0.20240225020742-a0c311522b23
github.com/modern-go/concurrent v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2 v1.0.2
github.com/russross/blackfriday/v2 v2.0.1
github.com/shurcooL/sanitized_anchor_name v1.0.0
github.com/urfave/cli v1.22.3
golang.org/x/net v0.4.0
golang.org/x/text v0.5.0
