github.com/alicebob/gopher-json	v0.0.0-20230218143504-906a9b012302
github.com/alicebob/miniredis/v2	v2.34.0
github.com/beorn7/perks	v1.0.1
github.com/bsm/ginkgo/v2	v2.12.0
github.com/bsm/gomega	v1.27.10
github.com/cespare/xxhash/v2	v2.3.0
github.com/coreos/go-systemd/v22	v22.5.0
github.com/davecgh/go-spew	v1.1.1
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/frankban/quicktest	v1.7.2
github.com/google/go-cmp	v0.6.0
github.com/klauspost/compress	v1.17.11
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.1.0
github.com/kylelemons/godebug	v1.1.0
github.com/mohae/deepcopy	v0.0.0-20170929034955-c48cc78d4826
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822
github.com/pierrec/lz4	v2.4.0%2Bincompatible
github.com/pmezard/go-difflib	v1.0.0
github.com/prometheus/client_golang	v1.20.5
github.com/prometheus/client_model	v0.6.1
github.com/prometheus/common	v0.55.0
github.com/prometheus/procfs	v0.15.1
github.com/redis/go-redis/v9	v9.7.3
github.com/rogpeppe/go-internal	v1.10.0
github.com/stretchr/testify	v1.10.0
github.com/yuin/gopher-lua	v1.1.1
golang.org/x/crypto	v0.36.0
golang.org/x/net	v0.38.0
golang.org/x/sys	v0.31.0
golang.org/x/text	v0.23.0
golang.org/x/time	v0.9.0
google.golang.org/protobuf	v1.34.2
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
