github.com/SherClockHolmes/webpush-go	v1.4.0
github.com/davecgh/go-spew	v1.1.0
github.com/golang-jwt/jwt/v5	v5.3.1
github.com/gomarkdown/markdown	v0.0.0-20260417124207-7d523f7318df
github.com/google/go-cmp	v0.6.0
github.com/google/uuid	v1.6.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.6.1
github.com/yuin/goldmark	v1.4.13
golang.org/x/crypto	v0.50.0
golang.org/x/mod	v0.17.0
golang.org/x/net	v0.53.0
golang.org/x/sync	v0.10.0
golang.org/x/sys	v0.43.0
golang.org/x/telemetry	v0.0.0-20240228155512-f48c80bd79b2
golang.org/x/term	v0.42.0
golang.org/x/text	v0.36.0
golang.org/x/tools	v0.21.1-0.20240508182429-e35e4ccd0d2d
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
