github.com/Masterminds/semver/v3	v3.4.0
github.com/chzyer/readline	v1.5.1
github.com/gkampitakis/ciinfo	v0.3.2
github.com/gkampitakis/go-diff	v1.3.2
github.com/gkampitakis/go-snaps	v0.5.15
github.com/go-logr/logr	v1.4.3
github.com/go-task/slim-sprig/v3	v3.0.0
github.com/goccy/go-yaml	v1.18.0
github.com/google/go-cmp	v0.7.0
github.com/google/pprof	v0.0.0-20260402051712-545e8a4df936
github.com/ianlancetaylor/demangle	v0.0.0-20250417193237-f615e6bd150b
github.com/joshdk/go-junit	v1.0.0
github.com/kr/pretty	v0.3.1
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.2.0
github.com/maruel/natural	v1.1.1
github.com/mfridman/tparse	v0.18.0
github.com/onsi/ginkgo/v2	v2.28.1
github.com/onsi/gomega	v1.39.1
github.com/rogpeppe/go-internal	v1.14.1
github.com/tidwall/gjson	v1.18.0
github.com/tidwall/match	v1.1.1
github.com/tidwall/pretty	v1.2.1
github.com/tidwall/sjson	v1.2.5
github.com/yuin/goldmark	v1.4.13
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/crypto	v0.50.0
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.53.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.43.0
golang.org/x/telemetry	v0.0.0-20260409153401-be6f6cb8b1fa
golang.org/x/term	v0.42.0
golang.org/x/text	v0.36.0
golang.org/x/tools	v0.44.0
google.golang.org/protobuf	v1.36.7
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
