github.com/cespare/xxhash/v2	v2.3.0
github.com/go-logr/logr	v1.4.3
github.com/go-logr/stdr	v1.2.2
github.com/go-task/slim-sprig/v3	v3.0.0
github.com/google/go-cmp	v0.7.0
github.com/google/pprof	v0.0.0-20260402051712-545e8a4df936
github.com/google/uuid	v1.6.0
github.com/masterminds/semver/v3	v3.4.0
github.com/oklog/ulid/v2	v2.1.1
github.com/onsi/ginkgo/v2	v2.28.1
github.com/onsi/gomega	v1.39.1
github.com/redis/rueidis/mock	
github.com/redis/rueidis/om	
github.com/redis/rueidis/rueidisaside	
github.com/redis/rueidis/rueidiscompat	
github.com/redis/rueidis/rueidiscompatmock	
github.com/redis/rueidis/rueidishook	
github.com/redis/rueidis/rueidislimiter	
github.com/redis/rueidis/rueidisotel	
github.com/redis/rueidis/rueidisprob	
github.com/redis/rueidis/rueidisrdma	
github.com/rogpeppe/go-internal	v1.14.1
github.com/twmb/murmur3	v1.1.8
go.opentelemetry.io/auto/sdk	v1.2.1
go.opentelemetry.io/otel	v1.43.0
go.opentelemetry.io/otel/metric	v1.43.0
go.opentelemetry.io/otel/sdk	v1.43.0
go.opentelemetry.io/otel/sdk/metric	v1.43.0
go.opentelemetry.io/otel/trace	v1.43.0
go.uber.org/mock	v0.6.0
go.yaml.in/yaml/v3	v3.0.4
golang.org/x/mod	v0.35.0
golang.org/x/net	v0.53.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.43.0
golang.org/x/text	v0.36.0
golang.org/x/tools	v0.44.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
