github.com/elliotwutingfeng/go-fasttld
github.com/cpuguy83/go-md2man/v2 v2.0.6
github.com/davecgh/go-spew v1.1.0
github.com/fatih/color v1.18.0
github.com/inconshreveable/mousetrap v1.1.0
github.com/joeguo/tldextract v0.0.0-20220507100122-d83daa6adef8
github.com/jpillora/go-tld v1.2.1
github.com/karlseguin/intset v1.0.3-0.20221130142345-37ee0d7df651
github.com/klauspost/cpuid/v2 v2.3.0
github.com/mattn/go-colorable v0.1.14
github.com/mattn/go-isatty v0.0.20
github.com/mjd2021usa/tldextract v0.9.2
github.com/pmezard/go-difflib v1.0.0
github.com/russross/blackfriday/v2 v2.1.0
github.com/spf13/afero v1.15.0
github.com/spf13/cobra v1.10.2
github.com/spf13/pflag v1.0.10
github.com/stretchr/objx v0.1.0
github.com/stretchr/testify v1.7.0
github.com/tidwall/hashmap v1.8.1
github.com/zeebo/assert v1.3.0
github.com/zeebo/xxh3 v1.0.2
go.yaml.in/yaml/v3 v3.0.4
golang.org/x/crypto v0.46.0
golang.org/x/mod v0.30.0
golang.org/x/net v0.48.0
golang.org/x/sync v0.19.0
golang.org/x/sys v0.39.0
golang.org/x/term v0.38.0
golang.org/x/text v0.32.0
golang.org/x/tools v0.39.0
gopkg.in/check.v1 v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3 v3.0.0-20200313102051-9f266ea9e77c
