github.com/mum4k/termdash
github.com/gdamore/encoding v1.0.0
github.com/gdamore/tcell/v2 v2.7.4
github.com/kylelemons/godebug v1.1.0
github.com/lucasb-eyer/go-colorful v1.2.0
github.com/mattn/go-runewidth v0.0.16
github.com/nsf/termbox-go v1.1.1
github.com/rivo/uniseg v0.4.3
github.com/yuin/goldmark v1.4.13
golang.org/x/crypto v0.0.0-20210921155107-089bfa567519
golang.org/x/mod v0.17.0
golang.org/x/net v0.6.0
golang.org/x/sync v0.11.0
golang.org/x/sys v0.17.0
golang.org/x/term v0.17.0
golang.org/x/text v0.22.0
golang.org/x/tools v0.21.1-0.20240508182429-e35e4ccd0d2d
golang.org/x/xerrors v0.0.0-20190717185122-a985d3407aa7
