ariga.io/atlas	v0.27.1-0.20240912191503-92195304dbe1
ariga.io/atlas	v0.36.2-0.20250730182955-2c6300d0a3e1
filippo.io/edwards25519	v1.1.0
github.com/agext/levenshtein	v1.2.3
github.com/alecthomas/kong	v1.6.1
github.com/apparentlymart/go-textseg/v15	v15.0.0
github.com/bmatcuk/doublestar	v1.3.4
github.com/clipperhouse/displaywidth	v0.6.2
github.com/clipperhouse/stringish	v0.1.1
github.com/clipperhouse/uax29/v2	v2.3.0
github.com/fatih/color	v1.18.0
github.com/go-openapi/inflect	v0.19.0
github.com/go-sql-driver/mysql	v1.8.1
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/protobuf	v1.5.2
github.com/google/go-cmp	v0.6.0
github.com/google/uuid	v1.3.0
github.com/googleapis/gax-go/v2	v2.7.0
github.com/gorilla/websocket	v1.5.0
github.com/hashicorp/hcl/v2	v2.18.1
github.com/hashicorp/hcl/v2	v2.23.0
github.com/json-iterator/go	v1.1.12
github.com/lib/pq	v1.10.9
github.com/mattn/go-colorable	v0.1.14
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.19
github.com/mattn/go-sqlite3	v1.14.24
github.com/mattn/go-sqlite3	v1.14.28
github.com/mitchellh/go-wordwrap	v1.0.1
github.com/mitchellh/mapstructure	v1.5.0
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd
github.com/modern-go/reflect2	v1.0.2
github.com/olekukonko/cat	v0.0.0-20250911104152-50322a0618f6
github.com/olekukonko/errors	v1.1.0
github.com/olekukonko/ll	v0.1.4-0.20260115111900-9e59c2286df0
github.com/olekukonko/tablewriter	v1.1.3
github.com/spf13/cobra	v1.7.0
github.com/spf13/pflag	v1.0.5
github.com/zclconf/go-cty	v1.14.4
github.com/zclconf/go-cty-yaml	v1.1.0
go.opencensus.io	v0.24.0
gocloud.dev	v0.28.0
golang.org/x/mod	v0.20.0
golang.org/x/mod	v0.24.0
golang.org/x/net	v0.6.0
golang.org/x/sync	v0.11.0
golang.org/x/sync	v0.8.0
golang.org/x/sys	v0.30.0
golang.org/x/text	v0.14.0
golang.org/x/text	v0.21.0
golang.org/x/tools	v0.24.0
golang.org/x/tools	v0.30.0
golang.org/x/xerrors	v0.0.0-20220907171357-04be3eba64a2
google.golang.org/api	v0.103.0
google.golang.org/genproto	v0.0.0-20221201204527-e3fa12d562f3
google.golang.org/grpc	v1.51.0
google.golang.org/protobuf	v1.28.1
gopkg.in/yaml.v3	v3.0.1
