cloud.google.com/go/compute	v1.9.0
github.com/davecgh/go-spew	v1.1.1
github.com/golang/groupcache	v0.0.0-20210331224755-41bb18bfe9da
github.com/golang/protobuf	v1.5.2
github.com/google/uuid	v1.3.0
github.com/googleapis/enterprise-certificate-proxy	v0.1.0
github.com/googleapis/gax-go/v2	v2.5.1
github.com/h2non/parth	v0.0.0-20190131123155-b4df798d6542
github.com/mitchellh/mapstructure	v1.5.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.8.0
go.opencensus.io	v0.23.0
golang.org/x/net	v0.0.0-20220826154423-83b083e8dc8b
golang.org/x/oauth2	v0.0.0-20220822191816-0ebed06d0094
golang.org/x/sys	v0.0.0-20220829200755-d48e67d00261
golang.org/x/text	v0.3.7
google.golang.org/api	v0.94.0
google.golang.org/appengine	v1.6.7
google.golang.org/genproto	v0.0.0-20220829175752-36a9c930ecbf
google.golang.org/grpc	v1.49.0
google.golang.org/protobuf	v1.28.1
gopkg.in/h2non/gock.v1	v1.1.2
gopkg.in/yaml.v3	v3.0.1
