github.com/aymanbagabas/go-osc52/v2	v2.0.1
github.com/aymanbagabas/go-udiff	v0.4.1
github.com/clipperhouse/uax29/v2	v2.2.0
github.com/davecgh/go-spew	v1.1.1
github.com/dmarkham/enumer	v1.6.3
github.com/google/go-cmp	v0.6.0
github.com/lucasb-eyer/go-colorful	v1.2.0
github.com/mattn/go-isatty	v0.0.20
github.com/mattn/go-runewidth	v0.0.24
github.com/muesli/termenv	v0.16.0
github.com/pascaldekloe/name	v1.0.0
github.com/pmezard/go-difflib	v1.0.0
github.com/rivo/uniseg	v0.4.7
github.com/stretchr/objx	v0.5.2
github.com/stretchr/testify	v1.11.1
github.com/yuin/goldmark	v1.4.13
golang.org/x/mod	v0.36.0
golang.org/x/net	v0.54.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.44.0
golang.org/x/telemetry	v0.0.0-20260508192327-42602be52be6
golang.org/x/term	v0.43.0
golang.org/x/tools	v0.45.0
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
