github.com/fsnotify/fsnotify	v1.5.4
github.com/gobwas/glob	v0.2.3
github.com/hashicorp/hcl	v1.0.0
github.com/magiconair/properties	v1.8.6
github.com/mitchellh/mapstructure	v1.5.0
github.com/pelletier/go-toml	v1.9.5
github.com/pelletier/go-toml/v2	v2.0.2
github.com/spf13/afero	v1.8.2
github.com/spf13/cast	v1.5.0
github.com/spf13/jwalterweatherman	v1.1.0
github.com/spf13/pflag	v1.0.5
github.com/spf13/viper	v1.12.0
github.com/subosito/gotenv	v1.4.0
golang.org/x/sync	v0.18.0
golang.org/x/sys	v0.38.0
golang.org/x/text	v0.3.8
golang.org/x/tools	v0.39.0
gopkg.in/ini.v1	v1.66.6
gopkg.in/yaml.v2	v2.4.0
