github.com/davecgh/go-spew	v1.1.1
github.com/go-playground/locales	v0.14.0
github.com/go-playground/universal-translator	v0.18.0
github.com/go-playground/validator/v10	v10.11.1
github.com/graphql-go/graphql	v0.8.0
github.com/guregu/null	v4.0.0%2Bincompatible
github.com/leodido/go-urn	v1.2.1
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/testify	v1.8.0
golang.org/x/crypto	v0.0.0-20211215153901-e495a2d5b3d3
golang.org/x/sys	v0.0.0-20210806184541-e5e7981a1069
golang.org/x/text	v0.3.7
gopkg.in/yaml.v3	v3.0.1
