github.com/cpuguy83/go-md2man/v2	v2.0.3
github.com/davecgh/go-spew	v1.1.1
github.com/fatih/color	v1.16.0
github.com/go-playground/locales	v0.13.0
github.com/go-playground/universal-translator	v0.17.0
github.com/go-playground/validator/v10	v10.4.1
github.com/goccy/go-json	v0.10.3
github.com/goccy/go-yaml	v1.11.2
github.com/google/go-cmp	v0.6.0
github.com/leodido/go-urn	v1.2.0
github.com/lestrrat-go/codegen	v1.0.4
github.com/lestrrat-go/dsig	v1.3.0
github.com/lestrrat-go/jwx/v4/cmd/jwx	
github.com/lestrrat-go/jwx/v4/internal/jwxcodegen	
github.com/lestrrat-go/option	v1.0.1
github.com/lestrrat-go/option/v3	v3.0.0-alpha1
github.com/lestrrat-go/xstrings	v0.0.0-20220901080742-cacb16b8ddb7
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.20
github.com/pmezard/go-difflib	v1.0.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/stretchr/testify	v1.11.1
github.com/urfave/cli/v2	v2.26.0
github.com/valyala/fastjson	v1.6.10
github.com/xrash/smetrics	v0.0.0-20231213231151-1d8dd44e695e
golang.org/x/crypto	v0.52.0
golang.org/x/crypto	v0.54.0
golang.org/x/mod	v0.33.0
golang.org/x/mod	v0.35.0
golang.org/x/sync	v0.20.0
golang.org/x/sys	v0.45.0
golang.org/x/sys	v0.47.0
golang.org/x/term	v0.45.0
golang.org/x/tools	v0.42.0
golang.org/x/tools	v0.44.0
golang.org/x/xerrors	v0.0.0-20231012003039-104605ab7028
gopkg.in/check.v1	v0.0.0-20161208181325-20d25e280405
gopkg.in/yaml.v3	v3.0.1
