github.com/beorn7/perks v1.0.1
github.com/cespare/xxhash/v2 v2.3.0
github.com/labstack/echo/v4 v4.13.4
github.com/labstack/gommon v0.4.2
github.com/mattn/go-colorable v0.1.14
github.com/mattn/go-isatty v0.0.20
github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
github.com/nikepan/go-datastructures v1.0.32
github.com/prometheus/client_golang v1.22.0
github.com/prometheus/client_model v0.6.2
github.com/prometheus/common v0.65.0
github.com/prometheus/procfs v0.16.1
github.com/valyala/bytebufferpool v1.0.0
github.com/valyala/fasttemplate v1.2.2
golang.org/x/crypto v0.39.0
golang.org/x/net v0.41.0
golang.org/x/sys v0.33.0
golang.org/x/text v0.26.0
google.golang.org/protobuf v1.36.6
