github.com/beorn7/perks	v1.0.1
github.com/cespare/xxhash/v2	v2.2.0
github.com/davecgh/go-spew	v1.1.1
github.com/dgryski/go-rendezvous	v0.0.0-20200823014737-9f7001d12a5f
github.com/fsnotify/fsnotify	v1.6.0
github.com/go-redis/redis/v8	v8.11.5
github.com/go-sql-driver/mysql	v1.6.0
github.com/google/go-cmp	v0.5.9
github.com/gorilla/mux	v1.8.1
github.com/hashicorp/hcl	v1.0.0
github.com/hjson/hjson-go/v4	v4.0.0
github.com/inconshreveable/mousetrap	v1.1.0
github.com/jmoiron/sqlx	v1.3.5
github.com/joho/godotenv	v1.3.0
github.com/knadh/koanf	v1.5.0
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/lib/pq	v1.10.9
github.com/mattn/go-colorable	v0.1.13
github.com/mattn/go-isatty	v0.0.19
github.com/mattn/go-sqlite3	v1.14.6
github.com/matttproud/golang_protobuf_extensions/v2	v2.0.0
github.com/mitchellh/copystructure	v1.2.0
github.com/mitchellh/mapstructure	v1.5.0
github.com/mitchellh/reflectwalk	v1.0.2
github.com/nxadm/tail	v1.4.8
github.com/onsi/ginkgo	v1.16.5
github.com/onsi/gomega	v1.18.1
github.com/pelletier/go-toml	v1.7.0
github.com/pmezard/go-difflib	v1.0.0
github.com/prometheus/client_golang	v1.18.0
github.com/prometheus/client_model	v0.5.0
github.com/prometheus/common	v0.45.0
github.com/prometheus/procfs	v0.12.0
github.com/rogpeppe/go-internal	v1.10.0
github.com/rs/zerolog	v1.32.0
github.com/spf13/cobra	v1.8.0
github.com/spf13/pflag	v1.0.5
github.com/streadway/amqp	v1.1.0
github.com/stretchr/testify	v1.9.0
golang.org/x/net	v0.17.0
golang.org/x/sys	v0.15.0
golang.org/x/text	v0.13.0
google.golang.org/protobuf	v1.33.0
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/tomb.v1	v1.0.0-20141024135613-dd632973f1e7
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
