repo,tool,gt_imp_july,gt_imp_now,gt_impT_july,gt_impT_now,gt_all_july,gt_all_now,gt_counts_ok,july_n_all_raw,now_gt_all_tsv_lines,july_scores,now_main,now_main_empty,now_warm_cache,emptymain_source,verdict
0xERR0R__blocky,syft,128,128,132,132,334,334,yes,335,334,231/0/103/128/103/0/132/99/0,231/0/103/128/103/0/132/99/0,,,no,match
0xERR0R__blocky,trivy,128,128,132,132,334,334,yes,335,334,194/0/140/128/66/0/132/62/0,194/0/140/128/66/0/132/62/0,,,no,match
0xERR0R__blocky,cdxgen,128,128,132,132,334,334,yes,335,334,128/0/206/128/0/0/128/0/4,128/0/206/128/0/0/128/0/4,,,no,match
0xERR0R__blocky,cyclonedx-gomod,128,128,132,132,334,334,yes,335,334,188/0/146/128/60/0/128/60/4,188/0/146/128/60/0/128/60/4,,,no,match
0xcafed00d__joystick,syft,3,3,3,3,3,3,yes,4,3,3/0/0/3/0/0/3/0/0,3/0/0/3/0/0/3/0/0,,,no,match
0xcafed00d__joystick,trivy,3,3,3,3,3,3,yes,4,3,3/0/0/3/0/0/3/0/0,3/0/0/3/0/0/3/0/0,,,no,match
0xcafed00d__joystick,cdxgen,3,3,3,3,3,3,yes,4,3,3/0/0/3/0/0/3/0/0,3/0/0/3/0/0/3/0/0,,,no,match
0xcafed00d__joystick,cyclonedx-gomod,3,3,3,3,3,3,yes,4,3,3/0/0/3/0/0/3/0/0,3/0/0/3/0/0/3/0/0,,,no,match
1set__cronrange,syft,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
1set__cronrange,trivy,1,1,1,1,1,1,yes,2,1,1/1/0/1/1/0/1/1/0,1/1/0/1/1/0/1/1/0,,,no,match
1set__cronrange,cdxgen,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
1set__cronrange,cyclonedx-gomod,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
1set__starlet,syft,12,12,12,12,25,25,yes,26,25,24/13/1/12/25/0/12/25/0,24/13/1/12/25/0/12/25/0,,,no,match
1set__starlet,trivy,12,12,12,12,25,25,yes,26,25,13/13/12/12/14/0/12/14/0,13/13/12/12/14/0/12/14/0,,,no,match
1set__starlet,cdxgen,12,12,12,12,25,25,yes,26,25,13/10/12/12/11/0/12/11/0,13/10/12/12/11/0/12/11/0,,,no,match
1set__starlet,cyclonedx-gomod,12,12,12,12,25,25,yes,26,25,12/0/13/12/0/0/12/0/0,12/0/13/12/0/0/12/0/0,,,no,match
1set__todotxt,syft,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
1set__todotxt,trivy,1,1,1,1,1,1,yes,2,1,1/0/0/1/0/0/1/0/0,1/0/0/1/0/0/1/0/0,,,no,match
