github.com/davecgh/go-spew	v1.1.0
github.com/go-sql-driver/mysql	v1.5.0
github.com/kr/pretty	v0.1.0
github.com/kr/pty	v1.1.1
github.com/kr/text	v0.1.0
github.com/pmezard/go-difflib	v1.0.0
github.com/stretchr/objx	v0.1.0
github.com/stretchr/testify	v1.6.1
go.uber.org/goleak	v1.1.10
golang.org/x/crypto	v0.0.0-20190308221718-c2843e01d9a2
golang.org/x/lint	v0.0.0-20190930215403-16217165b5de
golang.org/x/net	v0.0.0-20190620200207-3b0461eec859
golang.org/x/sync	v0.0.0-20190423024810-112230192c58
golang.org/x/sys	v0.0.0-20190215142949-d0b11bdaac8a
golang.org/x/text	v0.3.0
golang.org/x/tools	v0.0.0-20191108193012-7d206e10da11
golang.org/x/xerrors	v0.0.0-20190717185122-a985d3407aa7
gopkg.in/check.v1	v1.0.0-20180628173108-788fd7840127
gopkg.in/yaml.v2	v2.2.2
gopkg.in/yaml.v3	v3.0.0-20200313102051-9f266ea9e77c
