github.com/beorn7/perks	v1.0.1
github.com/cespare/xxhash/v2	v2.2.0
github.com/davecgh/go-spew	v1.1.1
github.com/google/go-cmp	v0.6.0
github.com/matttproud/golang_protobuf_extensions/v2	v2.0.0
github.com/mjl-/adns	v0.0.0-20250321173553-ab04b05bdfea
github.com/mjl-/autocert	v0.0.0-20250321204043-abab2b936e31
github.com/mjl-/bstore	v0.0.10
github.com/mjl-/flate	v0.0.0-20250221133712-6372d09eb978
github.com/mjl-/sconf	v0.0.7
github.com/mjl-/sherpa	v0.6.7
github.com/mjl-/sherpadoc	v0.0.16
github.com/mjl-/sherpaprom	v0.0.2
github.com/mjl-/sherpats	v0.0.6
github.com/mjl-/xfmt	v0.0.2
github.com/pmezard/go-difflib	v1.0.0
github.com/prometheus/client_golang	v1.18.0
github.com/prometheus/client_model	v0.5.0
github.com/prometheus/common	v0.45.0
github.com/prometheus/procfs	v0.12.0
github.com/russross/blackfriday/v2	v2.1.0
github.com/stretchr/testify	v1.8.1
go.etcd.io/bbolt	v1.3.12
golang.org/x/crypto	v0.54.0
golang.org/x/mod	v0.37.0
golang.org/x/net	v0.57.0
golang.org/x/sync	v0.22.0
golang.org/x/sys	v0.47.0
golang.org/x/text	v0.40.0
golang.org/x/tools	v0.47.0
google.golang.org/protobuf	v1.31.0
gopkg.in/yaml.v3	v3.0.1
rsc.io/qr	v0.2.0
